iter	Passed	Remaining
0	194	194337
1	195	97663
2	197	65574
3	200	49823
4	201	40000
5	201	33432
6	202	28753
7	203	25245
8	204	22524
9	205	20331
10	206	18533
11	206	17039
12	207	15776
13	209	14724
14	210	13815
15	212	13065
16	213	12367
17	214	11717
18	215	11132
19	216	10607
20	217	10133
21	218	9699
22	218	9301
23	219	8935
24	220	8601
25	221	8293
26	222	8006
27	223	7748
28	224	7520
29	225	7298
30	227	7102
31	229	6937
32	230	6753
33	231	6572
34	232	6405
35	233	6244
36	234	6090
37	234	5945
38	235	5807
39	236	5676
40	237	5560
41	239	5458
42	241	5363
43	241	5255
44	242	5151
45	243	5054
46	244	4959
47	245	4866
48	246	4778
49	247	4696
50	248	4616
51	248	4539
52	250	4467
53	251	4399
54	253	4348
55	254	4296
56	255	4235
57	256	4173
58	258	4115
59	259	4059
60	259	4002
61	260	3946
62	261	3892
63	262	3840
64	263	3790
65	264	3742
66	265	3698
67	267	3660
68	268	3625
69	270	3587
70	270	3545
71	271	3503
72	272	3463
73	273	3422
74	274	3382
75	275	3345
76	275	3307
77	276	3270
78	277	3235
79	278	3200
80	279	3167
81	280	3140
82	281	3110
83	283	3091
84	284	3066
85	285	3037
86	286	3008
87	287	2979
88	288	2951
89	289	2924
90	290	2898
91	291	2872
92	292	2848
93	293	2824
94	294	2805
95	296	2789
96	297	2773
97	298	2751
98	299	2728
99	300	2705
100	301	2683
101	302	2661
102	303	2639
103	303	2617
104	304	2597
105	305	2576
106	306	2557
107	307	2537
108	308	2521
109	309	2506
110	311	2495
111	313	2485
112	314	2468
113	315	2450
114	316	2432
115	317	2416
116	317	2398
117	318	2381
118	319	2364
119	320	2348
120	321	2333
121	321	2316
122	323	2304
123	325	2296
124	327	2289
125	328	2276
126	328	2260
127	329	2245
128	330	2231
129	331	2218
130	332	2204
131	333	2190
132	334	2177
133	334	2163
134	335	2151
135	336	2139
136	338	2132
137	340	2129
138	341	2118
139	342	2106
140	343	2094
141	344	2081
142	345	2070
143	346	2058
144	347	2046
145	347	2035
146	348	2023
147	349	2012
148	350	2001
149	351	1991
150	352	1984
151	354	1976
152	355	1969
153	356	1960
154	358	1952
155	359	1943
156	360	1934
157	361	1925
158	362	1915
159	362	1905
160	363	1894
161	364	1884
162	365	1874
163	366	1866
164	367	1861
165	369	1857
166	371	1850
167	372	1842
168	372	1834
169	373	1825
170	374	1816
171	375	1807
172	376	1798
173	377	1789
174	377	1781
175	378	1772
176	379	1763
177	380	1755
178	381	1748
179	383	1746
180	385	1746
181	386	1738
182	387	1731
183	388	1725
184	389	1718
185	390	1710
186	391	1703
187	392	1696
188	393	1689
189	394	1681
190	395	1674
191	397	1671
192	398	1666
193	400	1662
194	401	1655
195	401	1648
196	402	1642
197	403	1635
198	404	1629
199	405	1622
200	406	1615
201	407	1609
202	408	1602
203	408	1595
204	410	1590
205	411	1587
206	413	1584
207	414	1580
208	415	1574
209	416	1567
210	417	1562
211	418	1556
212	419	1549
213	420	1543
214	421	1537
215	421	1531
216	422	1525
217	423	1519
218	425	1515
219	426	1513
220	428	1511
221	429	1506
222	430	1501
223	431	1495
224	432	1490
225	433	1485
226	434	1479
227	435	1473
228	436	1468
229	436	1462
230	437	1457
231	438	1452
232	439	1448
233	441	1445
234	443	1444
235	444	1439
236	445	1434
237	446	1429
238	447	1424
239	448	1419
240	449	1414
241	449	1408
242	450	1403
243	451	1398
244	452	1393
245	454	1392
246	457	1394
247	460	1395
248	461	1392
249	462	1388
250	464	1386
251	466	1383
252	467	1379
253	468	1376
254	470	1374
255	472	1373
256	473	1369
257	474	1365
258	475	1361
259	476	1356
260	477	1351
261	478	1347
262	479	1342
263	480	1338
264	480	1333
265	481	1329
266	482	1325
267	488	1334
268	490	1333
269	492	1330
270	493	1326
271	494	1322
272	495	1318
273	496	1314
274	497	1310
275	498	1307
276	500	1305
277	501	1302
278	502	1298
279	504	1296
280	505	1293
281	506	1289
282	507	1286
283	508	1282
284	510	1280
285	511	1276
286	512	1274
287	514	1271
288	517	1271
289	518	1268
290	519	1264
291	520	1260
292	520	1257
293	521	1253
294	522	1249
295	523	1245
296	524	1240
297	525	1236
298	525	1232
299	526	1228
300	527	1225
301	529	1223
302	530	1221
303	532	1218
304	532	1214
